id,name,neighborhood_overview,host_id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,amenities,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
21946533,Townhouse in Rotterdam · ★4.70 · 2 bedrooms · 4 beds · 1 shared bath,,94315381,9/9/2016,,within an hour,100%,100%,f,1,t,t,Noordereiland,Private room in townhouse,Private room,4,1 shared bath,4,[],$90.00 ,2,30,172,4.7,4.73,4.82,4.87,4.83,4.69,4.53,t,2.36
22037852,Rental unit in Rotterdam · ★4.88 · 1 bedroom · 1 bed · 1 bath,"Hillegersberg-Zuid is known as Kleiwegkwartier. Begoniastraat is a side street of Kleiweg. Most part of this area is build in the twenties and thirties of the 20st century. At the East side there still are historical houses from the nineteenth century. It is a lively area of Rotterdam and yet surrounded by a lot of ""green"" of Melanchtonpark, Bergse lakes and Rotte river.",104009576,11/16/2016,"Om af en toe aan de dagelijkse sleur te ontsnappen maak ik graag stedentrips. In het dagelijks leven ben ik IT adviseur en in mijn vrije tijd fotografeer ik graag.
Zelf verhuur ik ook een appartement in Rotterdam.",N/A,N/A,N/A,f,1,t,t,Hillegersberg Zuid,Entire rental unit,Entire home/apt,2,1 bath,1,[],$70.00 ,3,30,125,4.88,4.88,4.9,4.99,4.99,4.75,4.88,f,1.74
22112524,Rental unit in Rotterdam · ★4.39 · 1 bedroom · 4 beds · 1.5 baths,The location of the apartment is just perfect. Everything is at walking distance!,17229228,6/25/2014,"I am easy going flexible and  social person who loves to travel and meet new people. 
I would love to be your host and look forward to welcome you.",within an hour,100%,100%,f,2,t,t,Stadsdriehoek,Entire rental unit,Entire home/apt,5,1.5 baths,4,[],$210.00 ,2,1125,368,4.39,4.42,3.97,4.68,4.77,4.91,4.36,f,5.03
22156693,Hotel in Rotterdam · ★4.27 · 1 bedroom · 3 beds · 1 private bath,Hartje centrum in korte tijd te bereiken 3 metro haltes. circa 5 minuten.<br />in onze nabijheid 300 meter  is Romantisch Historisch Delfshaven vele restaurants cafe's uitstekend vegetarisch restaurant. Ook treft u hier de Winkels en diverse Supermarkten aan.,27986148,2/19/2015,hotel Baan. info@hotelbaan.nl,a few days or more,40%,58%,f,9,t,t,Nieuwe Westen,Room in hotel,Private room,3,1 private bath,3,[],$143.00 ,2,1125,15,4.27,4.4,4.33,4.8,4.73,4.33,4.07,f,0.25
22246737,Rental unit in Rotterdam · ★4.50 · 1 bedroom · 1 bed · 1 shared bath,,7113705,6/25/2013,,within an hour,85%,97%,f,5,t,t,Stadsdriehoek,Private room in rental unit,Private room,2,1 shared bath,1,[],$59.00 ,2,1125,141,4.5,4.6,4.51,4.6,4.66,4.89,4.45,f,1.94
22246956,Rental unit in Rotterdam · ★4.38 · 1 bedroom · 1 bed · 1 shared bath,,7113705,6/25/2013,,within an hour,85%,97%,f,5,t,t,Stadsdriehoek,Private room in rental unit,Private room,2,1 shared bath,1,[],$59.00 ,2,1125,102,4.38,4.44,4.2,4.62,4.73,4.93,4.35,f,1.42
22291054,Townhouse in Rotterdam · ★4.74 · 2 bedrooms · 3 beds · 3 baths,"A quite & friendly neighborhood with a lot of shops around the corner. Enough parking spaces for free, bus and metro station on a walking distance,",733310,6/22/2011,I'm hosting my house as I work for a multinational and travel abroad regularly. I also like meeting and helping people that want to discover Rotterdam and the Netherlands in general. ,N/A,N/A,100%,f,1,t,t,Pendrecht,Entire townhouse,Entire home/apt,5,3 baths,3,[],,1,29,38,4.74,4.89,4.79,4.95,4.95,4.42,4.37,t,0.52
22291659,Serviced apartment in Rotterdam · ★4.73 · 1 bedroom · 2 beds · 1.5 baths,"Witte de Withstraat is the place to be when visiting Rotterdam. It has many restaurants that are open till late and amazing bars with seating outside. It is a two minute walk to the nearest tube station and three minute walk to the shopping district.<br /><br />Furthermore it is nearby the Coolsingel which houses the Rotterdam City hall, and it's nearby the shopping boulevard of the city. If you don't like the big shops you can also visite the small boutiques on the Van Oldenbarneveldstraat, Karel Doormanstraat or de Meent. <br /> If you have a panache for art, local products or like to buy things from local artists, entrepreneurs, hobbyist/amateurs, the Witte de Withstraat is dotted with (vintage and pop-up) shops/boutiques & galleries that sell these.<br /><br />It's  a 10 minute walk from:<br />- the newly constructed Markthal, which you really should visite to buy some local products or eat something at the venues. <br />- the Cubic houses<br />- the Eramusburg where you can explor",52925696,1/1/2016,,within an hour,100%,72%,f,6,t,t,Cool,Entire serviced apartment,Entire home/apt,3,1.5 baths,2,[],$170.00 ,1,185,122,4.73,4.85,4.88,4.91,4.82,4.84,4.68,t,1.7
22339362,Townhouse in Rotterdam · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,,94739794,9/12/2016,Ik ben al 5 jaar host en vertel je met veel enthousiasme wat je hier in de buurt allemaal kan doen,N/A,N/A,100%,f,1,t,t,Zevenkamp,Entire townhouse,Entire home/apt,2,1.5 baths,1,[],,2,7,84,4.76,4.83,4.42,4.89,4.94,4.64,4.74,f,1.17
22353706,Rental unit in Rotterdam · ★4.86 · 1 bedroom · 1 bed · 1 shared bath,"It is the most central place you can be, within minutes of department stores, shops, bars and restaurants.",163451598,12/20/2017,"Educated as a lawyer, now working as an independant graphic designer. 
Also works as a part time curator at Maaskoe art gallery. Living in Rotterdam for 35 years so I guess I'm a Rotterdammer.",within an hour,100%,100%,t,1,t,t,Cool,Private room in rental unit,Private room,2,1 shared bath,1,[],$100.00 ,1,21,373,4.86,4.92,4.86,4.97,4.96,4.98,4.78,t,5.14
22366418,Townhouse in Rotterdam · ★4.64 · Studio · 1 bed · 1.5 baths,"Supermarket AH and Jumbo, Premere multipurpose shop, restaurants ( Pizzaria, Greek restaurant, Cathy restaurant )  are just 3 minutes walk.",163547348,12/21/2017,"Hello I am Mei and I am from Malaysia. I am a Chinese Mandarin and Chinese Calligraphy teacher. I like art, culture, cooking and traveling. I also like to make friend and exchange life experience with people. Base on these reasons  i would like to offer my house for people who like to travel to my current city and country. My house is very close to the subway and close to Alexandrium Shopping Centre. Hope to meet some wonderful and nice people. 
Start from 2020 we would not going to provide breakfast and kitchen to cook anymore. Pls consider about this. 
Please go through my room’s conditions and house rules before you book. Guests sometime complain “no window “ while I already mention on the description so please do read before book. Thank you.
大家好,欢迎来体验我们的Home sweet Home. 我来自马来西亚,喜欢艺术,书法结交新朋友,谈谈人生的意义,希望能遇到不一样的你｡
可以詢問我w 信号,留､言",within an hour,100%,93%,t,3,t,t,Ommoord,Private room in townhouse,Private room,2,1.5 baths,1,[],$33.00 ,2,180,118,4.64,4.78,4.74,4.88,4.9,4.67,4.66,f,1.62
22420569,Loft in Rotterdam · ★4.98 · 1 bedroom · 1 bed · 1 bath,"- Het huis is gevestigd in de oude dorpskern van Overschie naast de grote kerk en andere bijzondere huizen die bewoond worden door hartelijke buren.<br />- Winkels en enkele restaurants vind je op 10 minuten lopen<br /><br />- Rotterdam/ The Hague Airport ligt op nog geen 5 minuten vanuit deze accommodatie. <br />- Rotterdam Centrum is gemakkelijk te bereiken met de bus of auto op 10 minuten rijden. - Het oude centrum van Schiedam ligt op ongeveer 10 minuten <br />- Delft ligt op 15 minuten afstand<br />- Den Haag op 20 minuten met de auto  <br /><br />-The house is located in the picturesque old center of Overschie, next to the large church and other special houses inhabited by cordial neighbors. <br /><br />-Rotterdam / The Hague Airport is only 5 minutes from this accommodation. Rotterdam Center can easily be reached by bus or car in 10 minutes. The old center of Schiedam in about 10 minutes. Shops and a few restaurants in Overschie on 5/10 minutes walking distance. Parking in and a",15905794,5/23/2014,"Hey, wij zijn Marc & Anita en wonen al 33 jaar in dit prachtige huis in Overschie waar we graag gasten ontvangen en het hen naar hun zin maken. Mocht je vragen hebben over de studio, stuur ons een bericht, wij komen zo snel mogelijk bij je terug!

Hey, we're Marc & Anita, living over 33 years in this beautiful house in Overschie . We'd love to host you as our guest in the spacious studio. Please, reach out with any questions you might have!",within a day,100%,97%,t,1,t,t,Overschie,Entire loft,Entire home/apt,2,1 bath,1,[],$110.00 ,2,1125,86,4.98,4.93,5,4.99,4.99,4.81,4.93,f,1.23
22456584,Rental unit in Rotterdam · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,Lively neighborhood,44321408,9/16/2015,Ondernemende sportieve man ,within an hour,100%,58%,f,2,t,t,Stadsdriehoek,Private room in rental unit,Private room,1,1 shared bath,1,[],$49.00 ,14,31,41,4.61,4.51,4.63,4.95,4.83,4.93,4.59,f,0.58
22460560,Townhouse in Rotterdam · ★4.76 · 1 bedroom · 3 beds · 1 shared bath,"Our house is located in a housing area which is very quiet, with green nature in a safe safe neighborhood. Many park are by walking distance. We have a ""kinderboederij "" animal farm which is 15 minutes walk. If you come with a children this is a good choice. You can have a nice walk or bike to the park.",163547348,12/21/2017,"Hello I am Mei and I am from Malaysia. I am a Chinese Mandarin and Chinese Calligraphy teacher. I like art, culture, cooking and traveling. I also like to make friend and exchange life experience with people. Base on these reasons  i would like to offer my house for people who like to travel to my current city and country. My house is very close to the subway and close to Alexandrium Shopping Centre. Hope to meet some wonderful and nice people. 
Start from 2020 we would not going to provide breakfast and kitchen to cook anymore. Pls consider about this. 
Please go through my room’s conditions and house rules before you book. Guests sometime complain “no window “ while I already mention on the description so please do read before book. Thank you.
大家好,欢迎来体验我们的Home sweet Home. 我来自马来西亚,喜欢艺术,书法结交新朋友,谈谈人生的意义,希望能遇到不一样的你｡
可以詢問我w 信号,留､言",within an hour,100%,93%,t,3,t,t,Ommoord,Private room in townhouse,Private room,5,1 shared bath,3,[],$45.00 ,4,60,107,4.76,4.81,4.69,4.93,4.97,4.69,4.71,f,1.47
22465465,Condo in Rotterdam · ★4.80 · 1 bedroom · 1 bed · 1 bath,"Blijdorp is een gemoedelijke jarendertigwijk in de verder bruisende buurt in Noord<br /><br />In Noord, daar moet je wezen. Deze uitgestrekte lappendeken van een stadsdeel barst van de wijken en buurten met ieder een eigen verrukkelijk karakter. De wijk is de afgelopen jaren in een stroomversnelling geraakt, zoals dat in zoveel steden gebeurt, maar zonder zijn ouderwetse glans te verliezen. Oude en nieuwe Noorderlingen, gezinnen en studenten, jongeren en ouderen en mensen uit talloze culturen leven hier vredig naast elkaar en dat brengt een sfeer met zich mee zoals nergens anders in de stad. Noord is mondain en rauw tegelijk. Een potpourri aan stijlen en smaken.",3410828,8/29/2012,,within a day,100%,80%,f,1,t,t,Blijdorp,Entire condo,Entire home/apt,2,1 bath,1,[],,3,730,15,4.8,5,4.6,4.8,4.93,4.93,4.8,f,0.21
22501376,Townhouse in Rotterdam · ★4.83 · 1 bedroom · 1 shared bath,"very close to the Alexandrium shopping mall, Erasmus University",163547348,12/21/2017,"Hello I am Mei and I am from Malaysia. I am a Chinese Mandarin and Chinese Calligraphy teacher. I like art, culture, cooking and traveling. I also like to make friend and exchange life experience with people. Base on these reasons  i would like to offer my house for people who like to travel to my current city and country. My house is very close to the subway and close to Alexandrium Shopping Centre. Hope to meet some wonderful and nice people. 
Start from 2020 we would not going to provide breakfast and kitchen to cook anymore. Pls consider about this. 
Please go through my room’s conditions and house rules before you book. Guests sometime complain “no window “ while I already mention on the description so please do read before book. Thank you.
大家好,欢迎来体验我们的Home sweet Home. 我来自马来西亚,喜欢艺术,书法结交新朋友,谈谈人生的意义,希望能遇到不一样的你｡
可以詢問我w 信号,留､言",within an hour,100%,93%,t,3,t,t,Ommoord,Private room in townhouse,Private room,2,1 shared bath,,[],$32.00 ,2,1125,115,4.83,4.93,4.87,4.94,4.94,4.73,4.82,f,1.59
22540750,Rental unit in Rotterdam · ★4.98 · 1 bedroom · 1 bed · 1 bath,"Welcome to my apartment which is located on the 'Laan op Zuid' just south of the Erasmusbrug. Near this apartment you will find many restaurants and pubs. The famous Hotel New York, Katendrecht district, theatre 'Het Nieuwe Luxor', The Fotomuseum and The Fenix Food Market are all within walking distance. Metrostation and tram stop are right across the street.",165580358,1/3/2018,,within an hour,100%,92%,t,1,t,t,Kop van Zuid,Entire rental unit,Entire home/apt,2,1 bath,1,[],$120.00 ,5,1125,60,4.98,4.95,4.77,4.93,4.98,4.98,4.88,f,0.84
22822923,Guesthouse in Rotterdam · ★4.89 · 1 bedroom · 1 bed · 1 bath,Our accommodation  is in Terbregge wich is part of Hilligersberg one of the finest neighborhoods in Rotterdam. Surrounded with several parks and around the corner at the river Rotte wich runs trough a typical dutch landscape.,33046805,5/10/2015,I live in Rotterdam and work for the municipality of Zoeterwoude. Zoeterwoude is a rural village next to the city of Leiden.,within an hour,100%,100%,t,1,t,t,Terbregge,Entire guesthouse,Entire home/apt,2,1 bath,1,[],$99.00 ,2,1125,174,4.89,4.9,4.98,4.97,4.96,4.77,4.83,f,2.83
23011472,Rental unit in Rotterdam · ★4.90 · 1 bedroom · 2 beds · 1.5 shared baths,,54968850,1/17/2016,"Wij zijn Gerdie en Donald en wonen al 35 jaar in een historisch kadepand op het Noordereiland in Rotterdam.  Wij zorgen ervoor dat uw verblijf ook tijdens de Corona dreiging veilig is, door de benodigde voorzieningen te treffen en de natte ruimtes extra schoon te  maken. ",within a few hours,100%,98%,t,2,t,t,Noordereiland,Private room in rental unit,Private room,1,1.5 shared baths,2,[],$38.00 ,2,1125,146,4.9,4.91,4.93,4.97,4.95,4.82,4.88,f,2.9
23020345,Rental unit in Rotterdam · ★4.93 · 1 bedroom · 1 bed · 1 bath,"Noordereiland is a cozy neighbourhood with beautiful views. Surrounded by water, you can enjoy a quiet environment, yet just a stone’s throw away from the city centre. The island itself offers an Italian restaurant, the café Koozie, and the pop up restaurant A la Plancha which floats on the water in the summer. A supermarket (SPAR) incl. a post office is around the corner; another one (Aldi) is a 10 min walk away.",24648407,12/9/2014,,within a few hours,100%,33%,f,1,t,t,Noordereiland,Entire rental unit,Entire home/apt,2,1 bath,1,[],$177.00 ,2,1125,15,4.93,4.87,4.87,5,5,4.93,4.87,f,0.25
23164688,Rental unit in Rotterdam · ★4.79 · 2 bedrooms · 2 beds · 1.5 baths,"Ahoy Arena<br />10 minuten lopen via Zuiderpark<br /><br />Zuiderpark<br />3-5 minuten lopen<br /><br />Tram 25 station Langenhorst<br />0 minuten (recht voor deur) Tram 25 brengt je rechtstreeks naar het centrum.<br /><br />Supermarkten, bakkerij, restaurant, cafe<br />1 minuut lopen",152817780,10/1/2017,"Welcome to CRASH'NSTAY. The place where we're working to make your stay unforgettable!

Leaving is no option. We are doing our very best to make our places just like home for you. Warm, comfortable and stylish. Special requests are always welcome. Our services are high standards with well trained property managers. 

Hi, nice to meet you.  I am proud to be member of the Airbnb-community. What about you?

Peter
Founder CRASH'NSTAY. ",within a day,90%,97%,f,10,t,t,Zuidwijk,Entire rental unit,Entire home/apt,4,1.5 baths,2,[],$134.00 ,1,1125,149,4.79,4.88,4.83,4.79,4.83,4.63,4.73,t,2.17
23692288,Rental unit in Rotterdam · ★4.96 · 1 bedroom · 1 bed · 1 shared bath,"Rotterdam-West is known for its cultural diversity. There are loads of funky shops, restaurants and bars around. Historical Delfshaven is within walking distance as well as architectural highlights like Euromast and the MVRDV designed Depot building of Boijmans Museum.",34201668,5/25/2015,"Hi, my name is Koko. I like exploring cities, hiking and visiting museums. I work as a researcher at a university. A quirky hobby of mine is learning Japanese. 日本語で話しましょうか？",N/A,N/A,100%,f,1,t,t,Tussendijken,Private room in rental unit,Private room,1,1 shared bath,1,[],,2,1125,24,4.96,4.96,5,5,4.96,4.79,4.96,f,0.34
23737593,Rental unit in Rotterdam · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,"Lively area , many shops ,small restaurants  , gym , supermarket 300 meter, near  the river Maas you can have a great walk",44321408,9/16/2015,Ondernemende sportieve man ,within an hour,100%,58%,f,2,t,t,Stadsdriehoek,Private room in rental unit,Private room,1,1 shared bath,1,[],$49.00 ,10,31,52,4.69,4.73,4.56,4.88,4.87,4.98,4.73,f,0.75
23765420,Townhouse in Rotterdam · ★5.0 · 2 bedrooms · 2 beds · 3.5 baths,"Our house is 15 minute walk from the city. Although you can also find everything in West. For a good coffee and lunch you can go to the Urban Espresso or Roast. For organic grocery’s you have to be at Ecoplaza or Gimsel (bit more far). If you want to eat a pizza you can go to De Buffel or get your meal at Fou. For a drink in West you can go to Steyn, Bakeliet and Rijke en de wit. Enjoy!",178258660,3/13/2018,,N/A,N/A,80%,f,1,t,t,Nieuwe Westen,Entire townhouse,Entire home/apt,4,3.5 baths,2,[],,3,10,11,5,5,5,5,5,4.82,4.82,f,0.16
23877771,Townhouse in Rotterdam · ★5.0 · 4 bedrooms · 4 beds · 1.5 baths,"The house is close to the center, 5 minutes cycling or 10 minutes in the tram. In the attractive district you will find some nice shops and restaurants. The Bergse Plassen (small lakes) are nearby (boat rental, SUP or swimming). Also go for a walk or bike ride along the river Rotte or in the Bergse Bos.<br /><br />If you come with young children, you will find a large playground, a football pitch, a smaller playground, a nice children's book shop / coffee shop and a unique amusement park in the neighborhood: Plaswijck Park. We also have a lot of toys (girls).",8350215,8/23/2013,"Living in Rotterdam, The Netherlands, with our family of 4. Loves to travel the world in a sustainable way. Loves cycling and walking. ",N/A,N/A,0%,f,1,t,t,Hillegersberg Zuid,Entire townhouse,Entire home/apt,6,1.5 baths,4,[],$325.00 ,5,1125,7,5,5,5,5,5,4.71,5,f,0.13
24154708,Rental unit in Rotterdam · ★4.96 · 1 bedroom · 1 bed · 1.5 baths,"Delfshaven is a great neighborhood to stay in in Rotterdam. It is the oldest remaining part of the city. From the 1700’s only 1 minute walk away. It is a 10 min walk to the city centre but also quiet enough to enjoy a nice walk along the river. There are multiple grocery stores within 600m walking from the house, besides that there are a lot of little shops, restaurants, kebab shops (for the late night snack) and other facilities.",98952450,10/9/2016,,within an hour,100%,95%,f,1,t,t,Delfshaven,Entire rental unit,Entire home/apt,2,1.5 baths,1,[],$105.00 ,3,7,48,4.96,4.98,4.88,5,5,4.9,4.92,f,0.69
24236804,Townhouse in Rotterdam · ★4.82 · Studio · 1 bed · 1 private bath,Besides shopping and night life Rotterdam has lots to offer cultural such as museums and art.,31581715,4/20/2015,,within an hour,100%,98%,t,2,t,t,Oude Westen,Private room in townhouse,Private room,2,1 private bath,1,[],$70.00 ,2,1125,164,4.82,4.87,4.92,4.88,4.95,4.9,4.68,f,3.12
24362649,Boat in Rotterdam · ★4.85 · 1 bedroom · 2 beds · 1.5 baths,"Rothor is moored in the Haringvliet, one of the historic harbours of Rotterdam, located in the centre.  Next to the Rothor is the bridge to the Oude Haven (Old Harbour). In the Old Harbour you can sit and have a drink by the water. There are bars and restaurants. In the harbours, Leuvehaven, Haringvliet, Oude Haven and Wijnhaven are filled with classic Dutch boats. The area is a mix of very old warehouses, bridges, ships, bars and modern skyscraper apartment buildings. The very famous and striking Kubic Houses are just around the corner. A little bit further is the Markthal a very remarkable building, not to be missed when you visit Rotterdam!",4653985,1/10/2013,"I'm an entrepreneur in the leisure field in Rotterdam.
I like meeting people from all parts of the world.
I  enjoy travelling and checking out other B&B's abroad.
I can give my guests a lot of information about Rotterdam and its attractions.
I enjoy rebuilding classic boats in an authentic nautical style.",within a few hours,100%,93%,t,2,t,t,Stadsdriehoek,Boat,Entire home/apt,4,1.5 baths,2,[],$150.00 ,3,1125,188,4.85,4.82,4.64,4.93,4.91,4.95,4.73,f,2.87
24574941,Rental unit in Rotterdam · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,"3mins walking distance to Rotterdam central station, 2.5 hours to Paris by train , 26 mins to Amsterdam airport by train. All the subways , tram have a stop here.",43591468,9/7/2015,"Travel blogger and host of a travel radio channel. Into interior design and delicious food. Can speak English, 中文 and Dutch , feel free for asking questions about the house by the language you’re familiar with.",within an hour,100%,96%,t,1,t,t,Cs Kwartier,Private room in rental unit,Private room,1,1.5 baths,1,[],$126.00 ,1,5,128,4.85,4.85,4.91,4.88,4.92,4.97,4.7,f,1.88
24639108,Rental unit in Rotterdam · ★4.93 · 2 bedrooms · 3 beds · 1 bath,"Oostplein is Oostplein. In our opinion the best location in town. We are at walking distance to city center, Blaak station, Oude Haven, cubic houses, Maas river, Kralingse Bos. Right in the corner of our apartment, you have many bars where you can drink a huge variety of beers (Attention: COVID 19 measures may affect this), a tram stop, a metro stop, and a water taxi stop. You can rent a bike in our same street which we highly recommend. Bikes are the best way to explore Rotterdam.",43189872,9/2/2015,"I'm from Montevideo, Uruguay, travel a lot through south america, sometimes to the states.
Now for the first time in Europe, doing MBA in Rotterdam.",within a few hours,100%,100%,f,2,t,t,Kralingen West,Entire rental unit,Entire home/apt,4,1 bath,3,[],,3,100,45,4.93,4.93,4.87,4.98,4.84,4.96,4.89,f,0.66
24727252,Houseboat in Rotterdam · ★4.38 · 4 bedrooms · 8 beds · 1 bath,The harbor is situated in the very multicural and up coming neighborhood 'kop van zuid',4104827,11/9/2012,"Hi, me and my wife are really boat lovers! This is the reason why we turned this beautiful old cargo vessel into a lovely nice city apartment / loft. This will give you the unique opportunity to live for a few day;s in an ancient vessel. As real Rotterdam people we can tell you about all the nice things the city of Rotterdam has to explore, such as good bars and food and culture. We are delighted to welcome you on board!",within an hour,100%,99%,f,13,t,t,Kop van Zuid - Entrepot,Houseboat,Entire home/apt,8,1 bath,8,[],$266.00 ,2,1125,71,4.38,4.49,4.18,4.76,4.65,4.73,4.38,t,1.05
24904980,Rental unit in Rotterdam · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,,79822271,6/25/2016,"Hi there, I fell instantly in love with my renovated apartment. I like to go on short trips within the Netherlands and rent out my place via Airbnb during these occasions.",N/A,N/A,56%,t,4,t,t,Middelland,Entire rental unit,Entire home/apt,2,1.5 baths,1,[],,1,3,38,4.89,4.97,4.84,4.95,5,4.74,4.84,f,0.56
24957939,Home in Rotterdam · ★4.90 · 3 bedrooms · 3 beds · 1.5 baths,"The neighborhood is lively and has a great mixture of authentic and hot spots. The Binnenweg, has a variety of shops and supermarkets amongst others an organic/biological supermarket. Here you'll find Vlaams Broodhuys which serves great breakfast, lunch and coffee. Apart form the famous roti’s, Indonesian, Dominican, Thai, African food, there are many options in vegetarian and vegan food as well. Don't miss out on the vegan cupcakes at Heavenly cupcakes!. The house is located 15 minutes walking distance from many museums and other sightseeing spots for example the “Witte de Withstraat” with café’s, restaurants, museums and art galleries.",188685738,5/9/2018,,N/A,N/A,100%,t,1,t,t,Delfshaven,Entire home,Entire home/apt,5,1.5 baths,3,[],$150.00 ,2,1125,30,4.9,4.93,4.7,4.93,4.9,4.9,4.87,f,0.46
25127319,Condo in Rotterdam · ★5.0 · 1 bedroom · 1 bed · 1 bath,,63049117,3/15/2016,,within an hour,100%,100%,t,1,t,t,Bergpolder,Entire condo,Entire home/apt,2,1 bath,1,[],$89.00 ,3,21,23,5,5,4.91,4.96,4.87,4.65,4.78,t,0.34
25525525,Rental unit in Rotterdam · ★4.59 · 1 bedroom · 1 bed · 1 bath,"You live in blijdoorp (translated: happy village); a lush, authentic & dynamic neighborhood behind the city center.<br />Here you find several restaurants, pubs, supermarkets & everything you might occasionally need. With only 10 minutes walking distance from the city centre & Rotterdam's central station, so you have all the options. You can easily jump on a train to explore other beautiful dutch cities Utrecht, Amsterdam or Den Hague, or even go to the beach at Hook van Holland...<br />The house opens to a beautiful view. Where there used to be a monestry garden, there is now a small neighbourhood tennis court, surrounded by big trees. If it wasn't for the tiny bit of skyline, you would almost forget that you are in the city with the biggest haven in Europe!",26888885,1/29/2015,"Hi, My name is Luca and I like traveling, meeting new people and discovering new places and experiences. Don't hesitate to ask me anything. I am happy to help.
 ",N/A,N/A,67%,f,1,t,t,Blijdorp,Entire rental unit,Entire home/apt,2,1 bath,1,[],,2,1111,41,4.59,4.68,4.27,4.78,4.68,4.73,4.56,f,0.61
25563767,Houseboat in Rotterdam · ★4.81 · 2 bedrooms · 3 beds · 1 bath,"The Maritime District is the most beautiful area of Rotterdam; it has it all: musea (Maritiem Museum, Mariniersmuseum & Comics Museum), loads of ho(s)tels, many highraise buildings and great restaurants. The area is very safe, peaceful and quiet at streetlevel.",436284753,12/16/2021,,N/A,N/A,N/A,f,13,t,t,Stadsdriehoek,Houseboat,Entire home/apt,5,1 bath,3,[],$240.00 ,1,60,177,4.81,4.83,4.73,4.81,4.87,4.92,4.57,f,2.68
26100220,Loft in Rotterdam · ★4.94 · 2 bedrooms · 2 beds · 1.5 baths,Kralingen is een geliefde wijk in Rotterdam vlakbij het centrum. Leuke ontbijt winkeltjes en diverse supermarkten op 5 minuten lopen. Openbaar vervoer in de buurt of huur fietsen  en ontdek Rotterdam per fiets........<br />Musea in de buurt en veel mooie natuur. Het Kralingse bos is op 10 minuten afstand.,28667732,3/3/2015,"Wij zijn Liesbeth & Isabelle. 
Liesbeth werkt bij een gerenommeerd architectenbureau en Isabelle gaat in de buurt naar de allerleukste school!  Wij wonen met veel plezier in Rotterdam en kennen alle leuke plekken in de stad. We zijn gek op onze Peugeot oldtimer, houden van lekker, eerlijk en gezond eten (maken en nuttigen) en genieten van mooie kunst en cultuur. We verwelkomen je graag in ons zelf gerenoveerde huis, waar wij ook zelf wonen.",within a day,100%,83%,t,1,t,t,Struisenburg,Entire loft,Entire home/apt,4,1.5 baths,2,[],$280.00 ,2,7,32,4.94,4.88,4.94,4.97,4.97,4.81,4.81,f,0.5
26389819,Rental unit in Rotterdam · ★4.86 · 1 bedroom · 1 bed · 1 bath,,198438793,6/27/2018,"My flat is located at the best area of the city of Rotterdam. I guarantee you will enjoy the neighborhood like a local. It's very central. Besides that you can take the metro, bus, train, scooter and any bike to explore so many places abroad.
I will be happy to help you during your stay with some tips and ideas!",within an hour,100%,94%,t,4,t,t,Cool,Entire rental unit,Entire home/apt,2,1 bath,1,[],$213.00 ,3,1125,22,4.86,4.95,4.91,4.73,4.82,5,4.86,f,1.13
26447001,Rental unit in Rotterdam · ★4.68 · 2 bedrooms · 3 beds · 1 bath,,8823918,9/14/2013,"Hi World,

I'm a cultural entrepreneur (visual artist and gallery owner) and I have a restoration/ renovation company (Monumental buildings). As a visual artist my fields are painting, sculpture and photography. As a master painter my expertises are restoration of monumental buildings, plastering, glass and durable work/ environment.
My interest are,people, literature, art, cultures, music, environment, cuisines and many more.

Kind regards",N/A,N/A,67%,f,2,t,t,Oude Westen,Entire rental unit,Entire home/apt,4,1 bath,3,[],,8,60,78,4.68,4.86,4.49,4.92,4.97,4.96,4.64,f,1.18
26464181,Condo in Rotterdam · ★4.85 · 1 bedroom · 1 bed · 1.5 baths,"Located in the heart of the city, just behind the City hall. <br /><br />Shopping areas, restaurants and bars are just around the corner. All major sight seeings are within walking distance. <br /><br />You won't find an apartment more centrally located than this one. Enjoy the city life!",175218562,2/25/2018,"Hi, 

I am Saskia, single, lawyer. I have been living and working in Rotterdam for about 30 years. In July 2015 I bought the apartment in the Timmerhuis (casco), and I moved in at the end of 2015. 
I live there with a lot of pleasure! The location is fantastic, I have very nice neighbors and the apartment itself has everything I could want. But the terraces are my pride and joy, and also the main reason for buying the apartment. I have what you call in Dutch ""green fingers.""

Because of a major leak, which fortunately has now been fixed, I was unable to accept bookings for a year.  This was followed by the Covid pandemic. 

I look forward to hearing your experiences! 

Greetings, 
Saskia 
",within a few hours,100%,50%,f,1,t,t,Stadsdriehoek,Entire condo,Entire home/apt,2,1.5 baths,1,[],$239.00 ,2,7,13,4.85,4.85,4.85,5,5,5,4.77,f,0.2
